"SMILES","EXTERNALID","N","INTRODUCER","MODIFIER","AMES {measured}","COMMENTS"
"COC1=CC=C(CC=C)C=C1","-","4312","midnighter","published","inactive","-"
"COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(\C)=N\NC(=O)C3=CC=CC=C3)C(O)=C1C2=O","-","4313","midnighter","published","active","-"
"CCOC(=O)NNC1=NN=CC2=C1C=CC=C2","-","4314","midnighter","published","active","-"
"CCCCNC(=O)\C=C\C1=CC=C(O1)N(=O)=O","-","4315","midnighter","published","active","-"
"CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC12C)C(C)=O","-","4316","midnighter","published","inactive","-"
"OCC(O)CO","-","4317","midnighter","published","inactive","-"
"COP(=S)(OC)OC1=CC=C(N=O)C(C)=C1","-","4318","midnighter","published","active","-"
"CN1C=CN(COCCC(C)(C)N(=O)=O)C1\C=N\O","-","4319","midnighter","published","inactive","-"
"O=C(C1OC1C1=CC=C(OC2=CC=CC=C2)C=C1)C1=CC=CC=C1","-","4320","midnighter","published","inactive","-"
"CN(C)N=NC1=CC=C(Cl)C=C1","-","4321","midnighter","published","active","-"
"CCCCCCCCCCCCCCCCCCCC","-","4322","midnighter","published","inactive","-"
"OC(=O)C1=CC=CC=C1Cl","-","4323","midnighter","published","inactive","-"
"CN(C)C(=O)C1=NN(C(CNC(=O)CN)=N1)C1=CC=C(Cl)C=C1C(=O)C1=CC=CC=C1Cl","-","4324","midnighter","published","inactive","-"
"CCCC\C=C\C=C\C=C\C=C\C=C\OC","-","4325","midnighter","published","active","-"
"CCCCOS(C)(=O)=O","-","4326","midnighter","published","active","-"
"O=N(=O)C1=CC=C2C=CC=C3CCC1=C23","-","4327","midnighter","published","active","-"
"NC1=CC=CC=C1","-","4328","midnighter","published","inactive","-"
"OC1=CC=C2C(=O)C3=CC=CC4=C3C(=CC=C4O)C2=C1","-","4329","midnighter","published","active","-"
"ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O","-","4330","midnighter","published","inactive","-"
"CCOC(N)=O","-","4331","midnighter","published","active","-"
"C(N1CCN=N1)C1=CC=CC=C1","-","4332","midnighter","published","active","-"
"CN1C=CN(CCS(C)(=O)=O)C1\C=N\O","-","4333","midnighter","published","inactive","-"
"NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","-","4334","midnighter","published","active","-"
"BrC(Br)C#N","-","4335","midnighter","published","active","-"
"ClC1=CC=C(C=C1)C1=C(N2C=CSC2=N1)N(=O)=O","-","4336","midnighter","published","active","-"
"CCN1C=C(C(O)=O)C(=O)C2=CN=C(N=C12)N1CCNCC1","-","4337","midnighter","published","active","-"
"O=NN1CCCCCC1","-","4338","midnighter","published","active","-"
"NC1=CC=C2C=CC3=C4C(C=CC1=C24)=C(C=C3)N(=O)=O","-","4339","midnighter","published","active","-"
"FC(F)(F)C1=CC=C(Cl)C=C1","-","4340","midnighter","published","inactive","-"
"CC(=O)C=O","-","4341","midnighter","published","active","-"
"ClC1=CC=C(C(Cl)=C1)N(=O)=O","-","4342","midnighter","published","active","-"
