"SMILES","RECORDID","MOLECULEID","EXTERNALID","N","INTRODUCER","MODIFIER","log(IGC50-1) {measured}","UNIT {log(IGC50-1)}","log(IGC50-1) {measured, converted}","UNIT {log(IGC50-1)}","COMMENTS"
"C1=CC=CC=C1","R33885","M663937","-","1","itetko","published","-0.12","-log(mmol/L)","-0.12","-log(mmol/L)","-"
"CC1=CC=C(C)C=C1","R33886","M11317","-","2","itetko","published","0.25","-log(mmol/L)","0.25","-log(mmol/L)","-"
"[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]","R33887","M13899","-","3","itetko","published","0.25","-log(mmol/L)","0.25","-log(mmol/L)","-"
"CCCCC1=CC=CC=C1","R33888","M7803","-","4","itetko","published","1.25","-log(mmol/L)","1.25","-log(mmol/L)","-"
"CCCCCC1=CC=CC=C1","R33889","M8863","-","5","itetko","published","1.79","-log(mmol/L)","1.79","-log(mmol/L)","-"
"NCC1=CC=CC=C1","R33890","M12270","-","6","itetko","published","-0.24","-log(mmol/L)","-0.24","-log(mmol/L)","-"
"CC(C)C1=CC=CC=C1","R33891","M10091","-","7","itetko","published","0.69","-log(mmol/L)","0.69","-log(mmol/L)",""
"OCCCCCC1=CC=CC=C1","R33892","M2182","-","8","itetko","published","0.42","-log(mmol/L)","0.42","-log(mmol/L)","-"
"CC(C)(O)CCC1=CC=CC=C1","R33893","M13910","-","9","itetko","published","-0.07","-log(mmol/L)","-0.07","-log(mmol/L)","-"
"OCCCC1=CC=CC=C1","R33894","M11515","-","10","itetko","published","-0.21","-log(mmol/L)","-0.21","-log(mmol/L)","-"
"OCC1=CC=CC=C1","R33895","M12630","-","11","itetko","published","-0.83","-log(mmol/L)","-0.83","-log(mmol/L)","-"
"CC(O)C1=CC=CC=C1","R33896","M12113","-","12","itetko","published","-0.66","-log(mmol/L)","-0.66","-log(mmol/L)","-"
"CCC1=CC=C(CO)C=C1","R33897","M13784","-","13","itetko","published","0.07","-log(mmol/L)","0.07","-log(mmol/L)","-"
"CCCC(O)C1=CC=CC=C1","R33898","M4011","-","14","itetko","published","-0.01","-log(mmol/L)","-0.01","-log(mmol/L)","-"
"OCC1=CC=C(C=C1)C1=CC=CC=C1","R33899","M551","-","15","itetko","published","0.92","-log(mmol/L)","0.92","-log(mmol/L)","-"
"CCC1=CC=C(C=C1)C1=CC=CC=C1","R33900","M10600","-","16","itetko","published","1.97","-log(mmol/L)","1.97","-log(mmol/L)","-"
"C1=CC=C(C=C1)C1=CC=CC=C1","R33901","M14415","-","17","itetko","published","1.05","-log(mmol/L)","1.05","-log(mmol/L)","-"
"CC(O)(CC1=CC=CC=C1)C1=CC=CC=C1","R33902","M9376","-","18","itetko","published","0.8","-log(mmol/L)","0.8","-log(mmol/L)","-"
"CC(O)C(C1=CC=CC=C1)C1=CC=CC=C1","R33903","M698","-","19","itetko","published","0.75","-log(mmol/L)","0.75","-log(mmol/L)","-"
"CC1=C(C)C=C(N)C=C1","R33904","M2142","-","20","itetko","published","-0.16","-log(mmol/L)","-0.16","-log(mmol/L)",""
"NC1=CC(CO)=CC=C1","R33905","M8008","-","21","itetko","published","-1.13","-log(mmol/L)","-1.13","-log(mmol/L)","-"
"CCCCOC1=CC=C(N)C=C1","R33906","M10939","-","22","itetko","published","0.61","-log(mmol/L)","0.61","-log(mmol/L)","-"
"CC1=CC=C(N)C=C1","R33907","M10196","-","23","itetko","published","-0.05","-log(mmol/L)","-0.05","-log(mmol/L)","-"
"CCC1=CC(N)=CC=C1","R33908","M284","-","24","itetko","published","-0.03","-log(mmol/L)","-0.03","-log(mmol/L)","-"
"CCC1=CC=C(N)C=C1","R33909","M4030","-","25","itetko","published","0.03","-log(mmol/L)","0.03","-log(mmol/L)","-"
"CC1=CC(N)=CC=C1","R33910","M5064","-","26","itetko","published","-0.28","-log(mmol/L)","-0.28","-log(mmol/L)","-"
"CC(C)C1=CC=CC(C(C)C)=C1N","R33911","M12362","-","27","itetko","published","0.76","-log(mmol/L)","0.76","-log(mmol/L)","-"
"CCC1=CC=CC=C1N","R33912","M6855","-","28","itetko","published","-0.22","-log(mmol/L)","-0.22","-log(mmol/L)","-"
"CCC1=CC=CC(CC)=C1N","R33913","M2794","-","29","itetko","published","0.31","-log(mmol/L)","0.31","-log(mmol/L)","-"
"COC1=CC=C(O)C=C1","R33914","M7663","-","30","itetko","published","-0.14","-log(mmol/L)","-0.14","-log(mmol/L)","-"
"CC1=CC(O)=CC(C)=C1C","R33915","M2520","-","31","itetko","published","0.93","-log(mmol/L)","0.93","-log(mmol/L)","-"
"ClCC1=CC=CC=C1","R33916","M5469","-","32","itetko","published","0.06","-log(mmol/L)","0.06","-log(mmol/L)","-"
"COC1=CC=C(C)C=C1","R33917","M1349","-","33","itetko","published","0.25","-log(mmol/L)","0.25","-log(mmol/L)","-"
"CC(C)(C)C1=CC=C(O)C=C1","R33918","M9142","-","34","itetko","published","0.91","-log(mmol/L)","0.91","-log(mmol/L)","-"
"COC1=CC=CC=C1","R33919","M9637","-","35","itetko","published","-0.1","-log(mmol/L)","-0.1","-log(mmol/L)","-"
"CCC1=CC=C(O)C=C1","R33920","M4171","-","36","itetko","published","0.21","-log(mmol/L)","0.21","-log(mmol/L)","-"
"CCC1=CC(O)=CC=C1","R33921","M3927","-","37","itetko","published","0.29","-log(mmol/L)","0.29","-log(mmol/L)","-"
"CC1=CC=CC=C1O","R33922","M9499","-","38","itetko","published","-0.29","-log(mmol/L)","-0.29","-log(mmol/L)","-"
"CCC1=CC=CC=C1O","R33923","M4765","-","39","itetko","published","0.16","-log(mmol/L)","0.16","-log(mmol/L)","-"
"OC1=CC=CC=C1","R33924","M4660","-","40","itetko","published","-0.35","-log(mmol/L)","-0.35","-log(mmol/L)","-"
"OC1=CC=CC=C1CC=C","R33925","M9170","-","41","itetko","published","0.33","-log(mmol/L)","0.33","-log(mmol/L)","-"
"IC1=CC=CC=C1","R33926","M10499","-","42","itetko","published","0.36","-log(mmol/L)","0.36","-log(mmol/L)","-"
"NC1=CC=C(Cl)C=C1","R33927","M9410","-","43","itetko","published","0.05","-log(mmol/L)","0.05","-log(mmol/L)","-"
"OCCC1=CC=C(O)C=C1","R33928","M13420","-","44","itetko","published","-0.83","-log(mmol/L)","-0.83","-log(mmol/L)","-"
